Dataset;Config;Local;Sorted;Threads;Granularity;Memory;Measurements
ihis;11-anonymity;false;true;6;0.816881936;385924640;55
ihis;11-anonymity;true;true;6;0.948526369;441434448;22
ihis;11-anonymity;false;true;7;0.814839119;388814144;47
ihis;11-anonymity;true;true;7;0.947562868;638188176;22
ihis;11-anonymity;false;true;8;0.813434108;382230432;72
ihis;11-anonymity;true;true;8;0.944813371;636208264;23
ihis;11-anonymity;false;true;9;0.810749244;388760696;56
ihis;11-anonymity;true;true;9;0.942225294;637868120;20
ihis;11-anonymity;false;true;10;0.808388939;403837232;66
ihis;11-anonymity;true;true;10;0.939987247;623284800;23
ihis;11-anonymity;false;true;11;0.806377017;401858992;38
ihis;11-anonymity;true;true;11;0.938712608;632992712;22
ihis;11-anonymity;false;true;12;0.806150837;394625056;65
ihis;11-anonymity;true;true;12;0.938463973;628596208;22
ihis;11-anonymity;false;true;13;0.806460234;398528448;45
ihis;11-anonymity;true;true;13;0.937280563;620682552;23
ihis;11-anonymity;false;true;14;0.806273174;414039536;36
ihis;11-anonymity;true;true;14;0.935906749;612462480;20
ihis;11-anonymity;false;true;15;0.806194935;408187960;53
ihis;11-anonymity;true;true;15;0.936546855;614073592;22
ihis;11-anonymity;false;true;16;0.806200625;411299392;52
ihis;11-anonymity;true;true;16;0.935988187;623140600;24
ihis;11-anonymity;false;true;17;0.806237611;425990864;42
ihis;11-anonymity;true;true;17;0.935859491;619903280;24
ihis;11-anonymity;false;true;18;0.805771737;416440168;54
ihis;11-anonymity;true;true;18;0.935726568;622250472;20
ihis;11-anonymity;false;true;19;0.806165774;434046248;48
ihis;11-anonymity;true;true;19;0.935651858;617494896;23
ihis;11-anonymity;false;true;20;0.805711991;431164416;44
ihis;11-anonymity;true;true;20;0.935732735;626389080;23
ihis;11-anonymity;false;true;21;0.805936037;446965600;41
ihis;11-anonymity;true;true;21;0.936037133;620897208;22
ihis;11-anonymity;false;true;22;0.805699189;434556864;48
ihis;11-anonymity;true;true;22;0.936114982;650427968;24
ihis;11-anonymity;false;true;23;0.805817257;437288320;26
ihis;11-anonymity;true;true;23;0.935655042;629106336;19
ihis;11-anonymity;false;true;24;0.805498614;445196712;36
ihis;11-anonymity;true;true;24;0.936404384;621720776;24
