Dataset;Config;Local;Sorted;Threads;Granularity;Time;TimePrepare;TimeComplete;TimeAnonymize;TimeGlobalTransform;TimePartitionByClass;TimeSuppress;TimeQuality;TimePostprocess
ihis;5-anonymity;true;true;55;0.935271525;10590.33333;2940.333333;7015.666667;3314.666667;0;0;0;634.3333333;0
ihis;5-anonymity;false;true;56;0.803449481;19779;2932.333333;16281.66667;12365;208.6666667;0;0;565;0
ihis;5-anonymity;true;true;56;0.935147361;10699.33333;2935;7134.666667;3447.666667;0;0;0;629.6666667;0
ihis;5-anonymity;false;true;57;0.803466551;19875;2940.333333;16368.33333;12458.33333;208.3333333;0;0;566.3333333;0
ihis;5-anonymity;true;true;57;0.934978511;11080.66667;2937.333333;7505;3789;0;0;0;638.3333333;0
ihis;5-anonymity;false;true;58;0.803583908;19365.66667;2934.666667;15866.33333;11959.66667;209;0;0;564.6666667;0
ihis;5-anonymity;true;true;58;0.934956219;10867.33333;2936;7306.666667;3618;0;0;0;624.6666667;0
ihis;5-anonymity;false;true;59;0.80316071;20037.66667;2941.666667;16527.66667;12585.66667;213;0;0;568.3333333;0
ihis;5-anonymity;true;true;59;0.935269551;11022;2954.333333;7438.666667;3714;0;0;0;629;0
ihis;5-anonymity;false;true;60;0.80313226;19557;2933;16059;12162;209;0;0;565;0
ihis;5-anonymity;true;true;60;0.9352236;10673.33333;2947;7097.333333;3379;0;0;0;629;0
ihis;5-anonymity;false;true;61;0.803408228;19501.66667;2936.333333;15997.66667;12071.33333;212;0;0;567.6666667;0
ihis;5-anonymity;true;true;61;0.934529656;10841;2942.666667;7268.666667;3561.333333;0;0;0;629.6666667;0
ihis;5-anonymity;false;true;62;0.803282335;19454.33333;2941;15944;12002;210;0;0;569.3333333;0
ihis;5-anonymity;true;true;62;0.934658664;10919.66667;2944;7337;3604.333333;0;0;0;638.6666667;0
ihis;5-anonymity;false;true;63;0.803068958;19206;2958;15683;11742;211;0;0;565;0
ihis;5-anonymity;true;true;63;0.934988402;10686.33333;2951.666667;7095.666667;3351.333333;0;0;0;639;0
ihis;5-anonymity;false;true;64;0.803443791;19626.66667;2952.333333;16108;12175;212.6666667;0;0;566.3333333;0
ihis;5-anonymity;true;true;64;0.934792249;10562.33333;2940.666667;6984.333333;3264.666667;0;0;0;637.3333333;0
ihis;11-anonymity;false;true;1;0.862409989;194837.6667;2947;191289;186953.3333;601;0;0;601.6666667;0
ihis;11-anonymity;true;true;1;0.9677871;64216;2960.666667;60568.66667;56847.33333;0;0;0;686.6666667;0
ihis;11-anonymity;false;true;2;0.793442216;135330.3333;2944.333333;131794;127704.6667;368;0;0;591.6666667;0.333333333
ihis;11-anonymity;true;true;2;0.962366541;43918.66667;2945.333333;40281.66667;36564.66667;0;0;0;691.6666667;0
ihis;11-anonymity;false;true;3;0.825430406;91250;2937.333333;87721;83710;301;0;0;591.6666667;0
ihis;11-anonymity;true;true;3;0.958042897;33264;2931.666667;29648;25955.33333;0;0;0;684.3333333;0
ihis;11-anonymity;false;true;4;0.822888764;64247.33333;2933.333333;60717;56748;268.3333333;0;0;597;0
ihis;11-anonymity;true;true;4;0.956404426;25639.66667;2934;22024;18317;0;0;0;681.6666667;0
ihis;11-anonymity;false;true;5;0.819684886;59518.66667;2938;55985.66667;52078.33333;201.6666667;0;0;595;0
ihis;11-anonymity;true;true;5;0.951767018;24760.33333;2941.333333;21130.66667;17419.66667;0;0;0;688.3333333;0
ihis;11-anonymity;false;true;6;0.816881936;54395.66667;2935.666667;50867.66667;46950;202;0;0;592.3333333;0
ihis;11-anonymity;true;true;6;0.948526369;23432.66667;2932.666667;19813.33333;16114.33333;0;0;0;686.6666667;0
ihis;11-anonymity;false;true;7;0.814839119;46315.66667;2931;42792.66667;38902.33333;202;0;0;592;0
ihis;11-anonymity;true;true;7;0.947562868;20336.66667;2934.333333;16715.66667;13015.66667;0;0;0;686.6666667;0
ihis;11-anonymity;false;true;8;0.813434108;41298;2934.333333;37769;33880.33333;203;0;0;594.6666667;0
ihis;11-anonymity;true;true;8;0.944813371;18798.33333;2943.666667;15157.33333;11418.66667;0;0;0;697.3333333;0
ihis;11-anonymity;false;true;9;0.810749244;40154.66667;2937.666667;36624.66667;32711;202.6666667;0;0;592.3333333;0
ihis;11-anonymity;true;true;9;0.942225294;17408.66667;2935.333333;13789;10082;0;0;0;684.3333333;0
ihis;11-anonymity;false;true;10;0.808388939;38314;2939.666667;34784;30872.66667;202.6666667;0;0;590.3333333;0
ihis;11-anonymity;true;true;10;0.939987247;16876.66667;2933.666667;13276.33333;9583.666667;0;0;0;666.6666667;0
ihis;11-anonymity;false;true;11;0.806377017;35997.66667;2942.666667;32488;28574.66667;202.3333333;0;0;567;0
ihis;11-anonymity;true;true;11;0.938712608;16844.33333;2934.666667;13249.66667;9552.666667;0;0;0;660;0
ihis;11-anonymity;false;true;12;0.806150837;33951;2937.666667;30448.33333;26545.33333;203.3333333;0;0;565;0
ihis;11-anonymity;true;true;12;0.938463973;17042.33333;2936.333333;13447;9752.333333;0;0;0;659;0
ihis;11-anonymity;false;true;13;0.806460234;32959.66667;2935;29451.33333;25546.66667;203;0;0;573.3333333;0
ihis;11-anonymity;true;true;13;0.937280563;16482.66667;2939;12893.33333;9186.666667;0;0;0;650.3333333;0
ihis;11-anonymity;false;true;14;0.806273174;31089.66667;2943.333333;27579.33333;23668.33333;206;0;0;567;0
ihis;11-anonymity;true;true;14;0.935906749;15255.33333;2940;11664.33333;7948.333333;0;0;0;651;0
ihis;11-anonymity;false;true;15;0.806194935;30656.33333;2934.666667;27155;23240.66667;203;0;0;566.6666667;0
ihis;11-anonymity;true;true;15;0.936546855;15853.66667;2938;12264;8551.666667;0;0;0;651.6666667;0
ihis;11-anonymity;false;true;16;0.806200625;30647;2938.333333;27142.66667;23231.33333;203.3333333;0;0;566;0
ihis;11-anonymity;true;true;16;0.935988187;14995;2937.333333;11420.33333;7714.666667;0;0;0;637.3333333;0
ihis;11-anonymity;false;true;17;0.806237611;29687;2937;26182;22264;203.3333333;0;0;568;0
ihis;11-anonymity;true;true;17;0.935859491;14409.33333;2931.666667;10840;7151.666667;0;0;0;637.6666667;0
ihis;11-anonymity;false;true;18;0.805771737;28948.66667;2936;25442.66667;21536.33333;203.6666667;0;0;570;0
ihis;11-anonymity;true;true;18;0.935726568;14694.33333;2935.333333;11108.66667;7417;0;0;0;650.3333333;0
ihis;11-anonymity;false;true;19;0.806165774;28359.66667;2931;24861.66667;20956;204.3333333;0;0;567;0
ihis;11-anonymity;true;true;19;0.935651858;13950.33333;2935.666667;10373.33333;6677.666667;0;0;0;641.3333333;0
ihis;11-anonymity;false;true;20;0.805711991;27136;2932.333333;23637.66667;19742.33333;203.6666667;0;0;566;0
ihis;11-anonymity;true;true;20;0.935732735;14114;2935.666667;10534.66667;6816.333333;0;0;0;643.6666667;0
ihis;11-anonymity;false;true;21;0.805936037;26045.33333;2940.666667;22537.33333;18632;204;0;0;567.3333333;0
ihis;11-anonymity;true;true;21;0.936037133;13854.33333;2938.333333;10268.33333;6551.666667;0;0;0;647.6666667;0
ihis;11-anonymity;false;true;22;0.805699189;27309.66667;2942.666667;23797.33333;19862;203.6666667;0;0;569.6666667;0
ihis;11-anonymity;true;true;22;0.936114982;12990;2934.666667;9411;5713.333333;0;0;0;644.3333333;0
ihis;11-anonymity;false;true;23;0.805817257;26228.33333;2933.333333;22728.66667;18834;204;0;0;566.3333333;0
ihis;11-anonymity;true;true;23;0.935655042;12912.33333;2930.666667;9339.333333;5647.666667;0;0;0;642.3333333;0
ihis;11-anonymity;false;true;24;0.805498614;25120.33333;2930.333333;21623;17730;204.6666667;0;0;567;0
ihis;11-anonymity;true;true;24;0.936404384;12433.33333;2941;8845.666667;5145.333333;0;0;0;646.3333333;0.333333333
ihis;11-anonymity;false;true;25;0.805773871;23948.66667;2938;20440;16533.66667;205.6666667;0;0;570.6666667;0
ihis;11-anonymity;true;true;25;0.935651263;12266;2929.666667;8700;5015;0;0;0;636.3333333;0
ihis;11-anonymity;false;true;26;0.805758223;24550.33333;2929.333333;21054.33333;17166.33333;206.6666667;0;0;566.6666667;0
ihis;11-anonymity;true;true;26;0.936840133;12461.66667;2958.333333;8860.666667;5142.666667;0;0;0;642.6666667;0
ihis;11-anonymity;false;true;27;0.805498614;22679.33333;2944.333333;19168.66667;15259.66667;204.6666667;0;0;566.3333333;0
ihis;11-anonymity;true;true;27;0.935305732;11895.33333;2930;8328;4642;0;0;0;637.3333333;0
ihis;11-anonymity;false;true;28;0.805242561;22821.33333;2933.666667;19321.66667;15426.66667;205.3333333;0;0;566;0
ihis;11-anonymity;true;true;28;0.935298072;11915;2936.333333;8341.333333;4647.666667;0;0;0;637.3333333;0
ihis;11-anonymity;false;true;29;0.805160055;22756;2932;19258.66667;15363.66667;205;0;0;565.3333333;0
ihis;11-anonymity;true;true;29;0.935731681;11744.33333;2934.666667;8180;4491.333333;0;0;0;629.6666667;0
ihis;11-anonymity;false;true;30;0.805243272;22483;2930.333333;18986.33333;15091.33333;205;0;0;566.3333333;0
ihis;11-anonymity;true;true;30;0.935857879;12007.66667;2935.666667;8437;4749.333333;0;0;0;635;0
ihis;11-anonymity;false;true;31;0.805278124;22816.33333;2934.333333;19316.66667;15425;205;0;0;565.3333333;0
ihis;11-anonymity;true;true;31;0.935200508;11893.66667;2932;8330.666667;4645.333333;0;0;0;631;0
ihis;11-anonymity;false;true;32;0.805307286;21854.66667;2933.333333;18356;14457.33333;205.3333333;0;0;565.3333333;0
ihis;11-anonymity;true;true;32;0.935422824;11753.33333;2932.333333;8189.666667;4508.333333;0;0;0;631;0.333333333
ihis;11-anonymity;false;true;33;0.804887644;22044.66667;2930;18549.33333;14661;205;0;0;565.3333333;0
ihis;11-anonymity;true;true;33;0.93491373;11360.66667;2932.666667;7795.666667;4107.333333;0;0;0;632.3333333;0
ihis;11-anonymity;false;true;34;0.805250385;22949.33333;2943.666667;19436.33333;15494.66667;205.3333333;0;0;569.3333333;0
ihis;11-anonymity;true;true;34;0.935944281;12436.33333;2944;8847.666667;5110;0;0;0;644.6666667;0
ihis;11-anonymity;false;true;35;0.804923918;22425.33333;2937.666667;18922.33333;15024;206;0;0;565.3333333;0
ihis;11-anonymity;true;true;35;0.935323241;12013.33333;2937.333333;8442.333333;4750;0;0;0;633.6666667;0
ihis;11-anonymity;false;true;36;0.804441685;21813;2933;18314.66667;14423;205.6666667;0;0;565.3333333;0
ihis;11-anonymity;true;true;36;0.934943767;11680;2938.333333;8107;4410.666667;0;0;0;634.3333333;0.333333333
ihis;11-anonymity;false;true;37;0.805093908;20980.66667;2940.333333;17471.66667;13563.33333;205.6666667;0;0;568.6666667;0
ihis;11-anonymity;true;true;37;0.935503369;11744.66667;3000.333333;8099.333333;4312.333333;0;0;0;645;0
ihis;11-anonymity;false;true;38;0.804893334;20798;2938;17292.66667;13360.66667;206.3333333;0;0;567.3333333;0
ihis;11-anonymity;true;true;38;0.935751792;11573;2936.333333;8004.333333;4312.333333;0;0;0;632.3333333;0
ihis;11-anonymity;false;true;39;0.804532726;20263.66667;2932.333333;16766;12869.66667;206.3333333;0;0;565.3333333;0
ihis;11-anonymity;true;true;39;0.935263727;11436.33333;2932;7867.333333;4177;0;0;0;637;0
ihis;11-anonymity;false;true;40;0.804665731;20166.66667;2936.666667;16663;12751;206.3333333;0;0;567;0
ihis;11-anonymity;true;true;40;0.935737315;11404.33333;2934.666667;7834.666667;4141.666667;0;0;0;635;0
ihis;11-anonymity;false;true;41;0.804592472;21130;2933.333333;17631;13733.33333;206.6666667;0;0;565.6666667;0
ihis;11-anonymity;true;true;41;0.935430377;11140;2934.333333;7571;3875.666667;0;0;0;634.6666667;0
ihis;11-anonymity;false;true;42;0.804258181;20418.33333;2944.666667;16903.33333;12963.66667;206.6666667;0;0;570.3333333;0
ihis;11-anonymity;true;true;42;0.935153544;11212;2967.333333;7599;3845.333333;0;0;0;645.6666667;0
ihis;11-anonymity;false;true;43;0.804367714;20993.66667;2941.333333;17485;13560;206.6666667;0;0;567.3333333;0
