Dataset;Config;Local;Sorted;Threads;Granularity;Memory;Measurements
adult;distinct-3-diversity;false;true;15;0.777392896;56460936;26
adult;distinct-3-diversity;true;true;15;0.933404726;52863256;17
adult;distinct-3-diversity;false;true;16;0.773053392;57944456;25
adult;distinct-3-diversity;true;true;16;0.931339644;52950584;14
adult;distinct-3-diversity;false;true;17;0.768562884;58668520;25
adult;distinct-3-diversity;true;true;17;0.93201877;52990720;14
adult;distinct-3-diversity;false;true;18;0.766131308;58614072;24
adult;distinct-3-diversity;true;true;18;0.928512329;53629928;17
adult;distinct-3-diversity;false;true;19;0.764423775;60017464;24
adult;distinct-3-diversity;true;true;19;0.929174891;53972760;17
adult;distinct-3-diversity;false;true;20;0.763301477;60551024;24
adult;distinct-3-diversity;true;true;20;0.927919143;54103872;18
adult;distinct-3-diversity;false;true;21;0.759435714;60485224;24
adult;distinct-3-diversity;true;true;21;0.926693667;54304648;17
adult;distinct-3-diversity;false;true;22;0.758591279;62119296;25
adult;distinct-3-diversity;true;true;22;0.926325998;54815424;17
adult;distinct-3-diversity;false;true;23;0.760117447;63494184;23
adult;distinct-3-diversity;true;true;23;0.926459822;54874784;20
adult;distinct-3-diversity;false;true;24;0.756736467;63285976;24
adult;distinct-3-diversity;true;true;24;0.925890496;54561256;14
adult;distinct-3-diversity;false;true;25;0.758065509;62956216;23
adult;distinct-3-diversity;true;true;25;0.925605906;54620592;23
adult;distinct-3-diversity;false;true;26;0.752241396;65753384;19
adult;distinct-3-diversity;true;true;26;0.923953315;55263032;14
adult;distinct-3-diversity;false;true;27;0.750170266;65843304;23
adult;distinct-3-diversity;true;true;27;0.923807861;55239880;16
adult;distinct-3-diversity;false;true;28;0.746902751;66407024;22
adult;distinct-3-diversity;true;true;28;0.922339843;55341208;15
adult;distinct-3-diversity;false;true;29;0.747538909;67772416;23
adult;distinct-3-diversity;true;true;29;0.922338971;56326800;26
adult;distinct-3-diversity;false;true;30;0.7501712;66684192;23
adult;distinct-3-diversity;true;true;30;0.921780508;56111856;16
adult;distinct-3-diversity;false;true;31;0.746647913;69431264;23
adult;distinct-3-diversity;true;true;31;0.920549476;56318632;16
adult;distinct-3-diversity;false;true;32;0.73724484;70643072;24
adult;distinct-3-diversity;true;true;32;0.919685894;56484480;25
adult;distinct-3-diversity;false;true;33;0.739003462;69836008;23
adult;distinct-3-diversity;true;true;33;0.919490918;56517504;25
adult;distinct-3-diversity;false;true;34;0.737304305;68075704;24
adult;distinct-3-diversity;true;true;34;0.918980152;56670320;24
adult;distinct-3-diversity;false;true;35;0.732716153;70221192;23
adult;distinct-3-diversity;true;true;35;0.917033009;56793024;17
adult;distinct-3-diversity;false;true;36;0.732290427;71312344;22
adult;distinct-3-diversity;true;true;36;0.91744575;57085840;17
adult;distinct-3-diversity;false;true;37;0.735546759;70339368;22
adult;distinct-3-diversity;true;true;37;0.917847056;56939344;17
adult;distinct-3-diversity;false;true;38;0.731956836;72033184;22
adult;distinct-3-diversity;true;true;38;0.915503664;57114760;18
adult;distinct-3-diversity;false;true;39;0.729766221;73626400;20
adult;distinct-3-diversity;true;true;39;0.915137889;57329424;19
adult;distinct-3-diversity;false;true;40;0.725779193;73778880;22
adult;distinct-3-diversity;true;true;40;0.915253077;57622536;17
adult;distinct-3-diversity;false;true;41;0.730702459;75660560;21
adult;distinct-3-diversity;true;true;41;0.914947549;58452344;17
adult;distinct-3-diversity;false;true;42;0.723189168;75445416;25
adult;distinct-3-diversity;true;true;42;0.912880115;58181024;17
adult;distinct-3-diversity;false;true;43;0.723570629;75746520;25
adult;distinct-3-diversity;true;true;43;0.913244297;58580120;18
adult;distinct-3-diversity;false;true;44;0.721067029;77832168;23
adult;distinct-3-diversity;true;true;44;0.912170932;58678376;19
adult;distinct-3-diversity;false;true;45;0.722364849;77249880;23
adult;distinct-3-diversity;true;true;45;0.912349124;58561144;18
adult;distinct-3-diversity;false;true;46;0.722506875;97985408;24
adult;distinct-3-diversity;true;true;46;0.911087226;58557200;17
adult;distinct-3-diversity;false;true;47;0.722045258;78995952;24
adult;distinct-3-diversity;true;true;47;0.911466976;59841136;30
adult;distinct-3-diversity;false;true;48;0.722415584;79593960;24
adult;distinct-3-diversity;true;true;48;0.910207217;59796920;20
adult;distinct-3-diversity;false;true;49;0.720850035;82658784;23
adult;distinct-3-diversity;true;true;49;0.911161093;60364096;19
adult;distinct-3-diversity;false;true;50;0.718488346;81219024;20
adult;distinct-3-diversity;true;true;50;0.909819605;60995856;21
adult;distinct-3-diversity;false;true;51;0.712511697;82325784;26
adult;distinct-3-diversity;true;true;51;0.908617608;59730872;19
adult;distinct-3-diversity;false;true;52;0.715185561;84120840;22
adult;distinct-3-diversity;true;true;52;0.908859528;60777488;18
adult;distinct-3-diversity;false;true;53;0.711522687;95474656;25
adult;distinct-3-diversity;true;true;53;0.907644602;60671320;26
adult;distinct-3-diversity;false;true;54;0.71073255;87163000;25
adult;distinct-3-diversity;true;true;54;0.908150525;61952760;28
adult;distinct-3-diversity;false;true;55;0.713748298;85561472;27
adult;distinct-3-diversity;true;true;55;0.907679532;77220456;21
adult;distinct-3-diversity;false;true;56;0.708915406;119920064;26
adult;distinct-3-diversity;true;true;56;0.906946153;75603336;28
adult;distinct-3-diversity;false;true;57;0.70698947;89396216;25
adult;distinct-3-diversity;true;true;57;0.906669981;61175968;25
adult;distinct-3-diversity;false;true;58;0.706105569;92836600;26
adult;distinct-3-diversity;true;true;58;0.906899792;61162112;22
adult;distinct-3-diversity;false;true;59;0.709337909;95195312;25
adult;distinct-3-diversity;true;true;59;0.906488012;61817752;18
adult;distinct-3-diversity;false;true;60;0.706331501;89563496;24
adult;distinct-3-diversity;true;true;60;0.90475189;74247688;18
adult;distinct-3-diversity;false;true;61;0.706224629;91083520;25
adult;distinct-3-diversity;true;true;61;0.90488312;77563320;20
adult;distinct-3-diversity;false;true;62;0.707216918;92294264;31
adult;distinct-3-diversity;true;true;62;0.905199184;62419576;22
adult;distinct-3-diversity;false;true;63;0.70688138;90671456;19
adult;distinct-3-diversity;true;true;63;0.905167538;78449352;25
adult;distinct-3-diversity;false;true;64;0.706622544;98916520;22
adult;distinct-3-diversity;true;true;64;0.904307197;77888592;17
adult;distinct-5-diversity;false;true;1;0.769658122;54322688;24
adult;distinct-5-diversity;true;true;1;0.923095675;53683736;21
adult;distinct-5-diversity;false;true;2;0.726717251;53736664;25
adult;distinct-5-diversity;true;true;2;0.921937667;53919104;23
adult;distinct-5-diversity;false;true;3;0.762860891;53050248;28
adult;distinct-5-diversity;true;true;3;0.919659138;53370992;19
adult;distinct-5-diversity;false;true;4;0.721854367;54733024;23
adult;distinct-5-diversity;true;true;4;0.913443058;54989432;18
adult;distinct-5-diversity;false;true;5;0.747798469;54959944;23
adult;distinct-5-diversity;true;true;5;0.914773876;53767640;18
adult;distinct-5-diversity;false;true;6;0.743987795;55820616;26
adult;distinct-5-diversity;true;true;6;0.910622575;53162384;18
adult;distinct-5-diversity;false;true;7;0.738774392;56389056;27
adult;distinct-5-diversity;true;true;7;0.907379327;54119704;19
adult;distinct-5-diversity;false;true;8;0.713865899;57017800;24
adult;distinct-5-diversity;true;true;8;0.906195555;53882800;16
adult;distinct-5-diversity;false;true;9;0.705391721;57258160;25
adult;distinct-5-diversity;true;true;9;0.903453245;53983248;17
adult;distinct-5-diversity;false;true;10;0.708865083;60222744;23
adult;distinct-5-diversity;true;true;10;0.904160181;54445320;21
adult;distinct-5-diversity;false;true;11;0.706367341;59214368;21
adult;distinct-5-diversity;true;true;11;0.899568496;53998088;21
adult;distinct-5-diversity;false;true;12;0.699574439;60321224;23
adult;distinct-5-diversity;true;true;12;0.898023774;54531168;16
adult;distinct-5-diversity;false;true;13;0.701272857;61074872;20
adult;distinct-5-diversity;true;true;13;0.89578075;54901824;22
adult;distinct-5-diversity;false;true;14;0.697762706;61216200;19
adult;distinct-5-diversity;true;true;14;0.896990633;54689616;17
adult;distinct-5-diversity;false;true;15;0.700835592;63596416;21
adult;distinct-5-diversity;true;true;15;0.894782086;54478008;18
adult;distinct-5-diversity;false;true;16;0.694658029;64024208;19
adult;distinct-5-diversity;true;true;16;0.892645173;54725792;21
adult;distinct-5-diversity;false;true;17;0.69178884;63770632;26
adult;distinct-5-diversity;true;true;17;0.891313676;55122184;18
adult;distinct-5-diversity;false;true;18;0.685638015;67017168;28
adult;distinct-5-diversity;true;true;18;0.886473699;55387296;23
adult;distinct-5-diversity;false;true;19;0.689436019;67886168;25
adult;distinct-5-diversity;true;true;19;0.887071341;55875232;23
adult;distinct-5-diversity;false;true;20;0.689540546;67844752;24
adult;distinct-5-diversity;true;true;20;0.886306583;55820688;21
adult;distinct-5-diversity;false;true;21;0.655107657;68627368;25
adult;distinct-5-diversity;true;true;21;0.883825924;56116424;24
adult;distinct-5-diversity;false;true;22;0.65698565;70301680;25
adult;distinct-5-diversity;true;true;22;0.884024426;56676656;20
adult;distinct-5-diversity;false;true;23;0.682718382;72182584;25
adult;distinct-5-diversity;true;true;23;0.882935065;56879688;20
adult;distinct-5-diversity;false;true;24;0.6549695;73536896;26
adult;distinct-5-diversity;true;true;24;0.881890907;56718344;23
adult;distinct-5-diversity;false;true;25;0.68090513;72880168;24
adult;distinct-5-diversity;true;true;25;0.881930862;56609288;20
adult;distinct-5-diversity;false;true;26;0.651686587;77115200;20
adult;distinct-5-diversity;true;true;26;0.878071067;56713064;22
adult;distinct-5-diversity;false;true;27;0.651248373;73526168;25
adult;distinct-5-diversity;true;true;27;0.877181776;57014608;22
adult;distinct-5-diversity;false;true;28;0.671920041;77844648;26
adult;distinct-5-diversity;true;true;28;0.876758895;57338944;20
adult;distinct-5-diversity;false;true;29;0.660062066;76425400;23
adult;distinct-5-diversity;true;true;29;0.87386464;57683936;20
adult;distinct-5-diversity;false;true;30;0.649189272;77566080;25
adult;distinct-5-diversity;true;true;30;0.873865014;57933272;20
adult;distinct-5-diversity;false;true;31;0.651333392;78396632;21
adult;distinct-5-diversity;true;true;31;0.873398109;58006320;21
adult;distinct-5-diversity;false;true;32;0.646323924;83634032;24
adult;distinct-5-diversity;true;true;32;0.869246349;58758832;22
adult;distinct-5-diversity;false;true;33;0.645579335;84603256;24
adult;distinct-5-diversity;true;true;33;0.869740281;58042336;20
adult;distinct-5-diversity;false;true;34;0.645642094;81687536;24
adult;distinct-5-diversity;true;true;34;0.869524303;58590904;22
adult;distinct-5-diversity;false;true;35;0.641056546;86560480;24
adult;distinct-5-diversity;true;true;35;0.865245683;58866824;21
adult;distinct-5-diversity;false;true;36;0.637851509;83378256;27
adult;distinct-5-diversity;true;true;36;0.866557035;58818744;20
adult;distinct-5-diversity;false;true;37;0.645389374;83291128;20
adult;distinct-5-diversity;true;true;37;0.867410818;59059544;25
adult;distinct-5-diversity;false;true;38;0.640378304;95180456;25
adult;distinct-5-diversity;true;true;38;0.86589425;59335904;24
adult;distinct-5-diversity;false;true;39;0.639617089;84371968;20
adult;distinct-5-diversity;true;true;39;0.865280338;59881344;23
adult;distinct-5-diversity;false;true;40;0.638254625;84869664;20
adult;distinct-5-diversity;true;true;40;0.863208128;59581712;23
adult;distinct-5-diversity;false;true;41;0.639350682;86896800;21
adult;distinct-5-diversity;true;true;41;0.862246414;60394176;21
adult;distinct-5-diversity;false;true;42;0.638238778;86653928;20
adult;distinct-5-diversity;true;true;42;0.860904591;59913152;24
adult;distinct-5-diversity;false;true;43;0.633574931;86125904;20
adult;distinct-5-diversity;true;true;43;0.858980474;60643144;23
adult;distinct-5-diversity;false;true;44;0.63296382;88464072;20
adult;distinct-5-diversity;true;true;44;0.859398508;60903960;23
adult;distinct-5-diversity;false;true;45;0.631299654;91100144;22
